Country,Lithium_Production_2024[t/yr],Lithium_Reserves[t],Lithium_Global_Demand_2024[t/yr],Lithium_Global_Demand_2030_NetZero[t/yr],Lithium_Global_Demand_2050_NetZero[t/yr],Lithium_Num_Deposits,Nickel_Production_2024[t/yr],Nickel_Reserves[t],Nickel_Global_Demand_2024[t/yr],Nickel_Global_Demand_2030_NetZero[t/yr],Nickel_Global_Demand_2050_NetZero[t/yr],Nickel_Num_Deposits,Platinum_Production_2024[t/yr],Platinum_Reserves[t],Platinum_Global_Demand_2024[t/yr],Platinum_Global_Demand_2030_NetZero[t/yr],Platinum_Global_Demand_2050_NetZero[t/yr],Platinum_Num_Deposits
Argentina,18000,4000000,150000.0,430000.0,1500000.0,6,0,0,3500000.0,5000000.0,7000000.0,0,0,0,250.0,350.0,600.0,0
Australia,88000,7000000,150000.0,430000.0,1500000.0,8,160000,24000000,3500000.0,5000000.0,7000000.0,9,0,0,250.0,350.0,600.0,0
Bolivia,0,800000,150000.0,430000.0,1500000.0,3,0,0,3500000.0,5000000.0,7000000.0,0,0,0,250.0,350.0,600.0,0
Brazil,10000,390000,150000.0,430000.0,1500000.0,4,120000,16000000,3500000.0,5000000.0,7000000.0,5,0,0,250.0,350.0,600.0,0
Canada,4300,930000,150000.0,430000.0,1500000.0,5,190000,2000000,3500000.0,5000000.0,7000000.0,6,6,310,250.0,350.0,600.0,3
Chile,49000,9300000,150000.0,430000.0,1500000.0,4,0,0,3500000.0,5000000.0,7000000.0,0,0,0,250.0,350.0,600.0,0
China,41000,3000000,150000.0,430000.0,1500000.0,12,110000,4200000,3500000.0,5000000.0,7000000.0,7,0,0,250.0,350.0,600.0,0
Cuba,0,0,150000.0,430000.0,1500000.0,0,49000,5500000,3500000.0,5000000.0,7000000.0,3,0,0,250.0,350.0,600.0,0
Indonesia,0,0,150000.0,430000.0,1500000.0,0,2200000,55000000,3500000.0,5000000.0,7000000.0,12,0,0,250.0,350.0,600.0,0
Madagascar,0,0,150000.0,430000.0,1500000.0,0,33000,1600000,3500000.0,5000000.0,7000000.0,2,0,0,250.0,350.0,600.0,0
Mexico,0,1700000,150000.0,430000.0,1500000.0,2,0,0,3500000.0,5000000.0,7000000.0,0,0,0,250.0,350.0,600.0,0
New Caledonia,0,0,150000.0,430000.0,1500000.0,0,230000,7100000,3500000.0,5000000.0,7000000.0,4,0,0,250.0,350.0,600.0,0
Philippines,0,0,150000.0,430000.0,1500000.0,0,330000,4800000,3500000.0,5000000.0,7000000.0,8,0,0,250.0,350.0,600.0,0
Portugal,380,60000,150000.0,430000.0,1500000.0,1,0,0,3500000.0,5000000.0,7000000.0,0,0,0,250.0,350.0,600.0,0
Russia,0,0,150000.0,430000.0,1500000.0,0,200000,6500000,3500000.0,5000000.0,7000000.0,7,21,3900,250.0,350.0,600.0,4
South Africa,0,0,150000.0,430000.0,1500000.0,0,0,0,3500000.0,5000000.0,7000000.0,0,130,28000,250.0,350.0,600.0,5
United States,1100,1400000,150000.0,430000.0,1500000.0,8,18000,340000,3500000.0,5000000.0,7000000.0,4,3,900,250.0,350.0,600.0,2
Zimbabwe,22000,690000,150000.0,430000.0,1500000.0,5,0,0,3500000.0,5000000.0,7000000.0,0,17,1200,250.0,350.0,600.0,2
Other countries,5000,740000,150000.0,430000.0,1500000.0,6,100000,3000000,3500000.0,5000000.0,7000000.0,5,3,300,250.0,350.0,600.0,2
