# Curated estimate of major lithium chemical conversion / refining facilities.
# China dominates (~80% of global Li conversion capacity).
# Capacity[t/yr] is contained Li metal output capacity.
country,facility,capacity_2024[t/yr],conversion_efficiency,energy_cost
China,Ganfeng-Xinyu,40000,0.82,1100
China,Ganfeng-Mengnyong,28000,0.82,1100
China,Tianqi-Sichuan,30000,0.82,1100
China,Tianqi-Suining,18000,0.82,1100
China,Yahua-Sichuan,25000,0.80,1100
China,Sinomine,12000,0.80,1100
China,Salt Lake Industry Co,10000,0.78,1100
China,CATL-Yibin,15000,0.80,1150
China,Shengxin Lithium,10000,0.78,1150
China,Zhicun Lithium,8000,0.78,1200
China,Yongxing Materials,12000,0.80,1100
China,Yibin Tianyi,10000,0.80,1150
Chile,SQM Salar del Carmen,40000,0.85,1500
Chile,Albemarle La Negra,40000,0.85,1500
Chile,SQM Antofagasta,8000,0.85,1500
Australia,Tianqi Kwinana,24000,0.82,2000
Australia,Wesfarmers Mt Holland,40000,0.80,2000
Argentina,SQM-Lithium Argentina,20000,0.85,1700
Argentina,Allkem Olaroz,15000,0.83,1700
USA,Albemarle Kings Mountain NC,5000,0.82,2200
USA,Livent Bessemer City NC,8000,0.82,2200
Korea,POSCO Pilbara JV,18000,0.85,2400
Korea,LG Chem Cheongju,8000,0.83,2400
Japan,Toyota Tsusho,3000,0.85,2700
Canada,Nemaska Bécancour,18000,0.83,1900
