# Curated estimate of major nickel refining / smelting facilities (2024).
# Includes HPAL, Class-1 nickel sulfate, and Class-2 NPI/ferronickel.
# Capacity[t/yr] is contained Ni metal output capacity.
country,facility,capacity_2024[t/yr],conversion_efficiency,energy_cost
Indonesia,IMIP Morowali,500000,0.78,1500
Indonesia,IWIP Weda Bay,400000,0.78,1500
Indonesia,Halmahera Persada Lygend,250000,0.76,1500
Indonesia,Pomalaa HPAL,150000,0.75,1500
Indonesia,QMB Morowali,200000,0.78,1500
Indonesia,Antam Pomalaa,80000,0.75,1500
China,Jinchuan Refinery,150000,0.80,2000
China,Tsingshan Wenzhou,200000,0.78,2000
China,GEM Jingmen,80000,0.78,2000
China,Huayou Quzhou,100000,0.78,2000
China,Greatpower Jiangsu,50000,0.78,2000
Russia,Norilsk Refinery,170000,0.82,2200
Russia,Kola MMC,55000,0.82,2200
Norway,Glencore Nikkelverk,90000,0.85,2300
Finland,Nornickel Harjavalta,65000,0.85,2300
Finland,Terrafame Sotkamo,30000,0.80,2400
Japan,Sumitomo Niihama,65000,0.85,2700
Japan,Pacific Metals Hachinohe,55000,0.78,2700
Korea,POSCO Pohang,30000,0.83,2400
Canada,Vale Long Harbour,55000,0.85,2400
Canada,Sherritt Fort Saskatchewan,35000,0.85,2400
Canada,Sudbury Smelter (Vale),95000,0.80,2400
Canada,Glencore Sudbury,75000,0.80,2400
Madagascar,Ambatovy Refinery,30000,0.78,2200
Cuba,Moa JV Refinery,40000,0.75,1900
New Caledonia,SLN Doniambo,55000,0.80,2200
USA,Stillwater Smelter MT,5000,0.85,2800
Brazil,Onça Puma Smelter,53000,0.78,2200
