,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
0,0,15651.83336143764,9900.0,6300.0,95949.61538461538,94654.66027128077,0.0,1,0,1682692.3076923082,1682692.3076923082,0.0,0.04,129945345.33972871,0,0.0,0.0,0,156776.53846153844,0.0
1,1,14033.840291226612,10800.0,6300.0,95949.61538461538,85167.17965355306,0.0,2,0,1687729.739754397,1687729.739754397,0.0,0.04,129902441.13011505,0,0.0,0.0,0,267144.65156155545,5048076.923076922
2,2,12863.200958050946,10800.0,6300.0,95949.61538461538,78535.79694007809,0.0,2,0,1691932.0639386477,1677654.8756302185,14277.188308429853,0.04,129866197.41599947,0,0.0,0.0,0,172948.90530438544,2183504.5625502644
3,3,12005.680924488663,10800.0,6300.0,95949.61538461538,73808.56653049175,0.0,3,0,1695620.2585721274,1055635.311373477,639984.9471986499,0.04,129835722.86636244,0,0.0,0.0,0,164959.22462856927,1607873.0326807199
4,4,11274.31701536021,9900.0,6300.0,95949.61538461538,70511.750644305,0.0,2,1,1698946.8416003308,1231937.7571793864,467009.08442094375,0.04,129808808.99389857,0,0.0,0.0,0,175479.5604361059,3374553.9817307033
5,5,10737.021512656187,9900.0,6300.0,95949.61538461538,66304.67213844605,0.0,2,5,1702128.9758004646,1134439.1350445643,567689.8407559006,0.04,129783906.67842436,0,0.0,0.0,0,113754.77823922943,1161109.0099005923
6,6,10344.727879606593,9900.0,6300.0,95949.61538461538,64175.02649721892,0.0,1,7,1705085.3115563141,1412768.0039648756,292317.3075914378,0.04,129763284.38996017,0,0.0,0.0,0,122748.47989478515,882739.65266826
7,7,10063.14555275071,9900.0,6300.0,95949.61538461538,62520.68836118015,0.0,0,7,1707872.352225421,1383715.5994967665,324156.75272865465,0.04,129743795.39782523,0,0.0,0.0,0,81891.42333092343,998201.9978789941
8,8,9963.312713570374,9900.0,6300.0,95949.61538461538,61414.12523397216,0.0,0,8,1710529.7083844233,936458.3235633448,774071.3848210792,0.04,129725442.29064837,0,0.0,0.0,0,112235.16293216971,894527.2684683183
9,9,9987.726207216441,9900.0,6300.0,95949.61538461538,61049.239151362905,0.0,0,8,1712972.3144083896,301393.9755947124,1411578.3388136781,0.04,129707483.41394022,0,0.0,0.0,0,128798.01495632716,1017454.79255324
