,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Total_Consumer_Demand,Fulfilled_Demand,Unfulfilled_Demand,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile
0,0,16150.0,3303.1876923076925,4591.923076923077,0.0,0,36057.69230769226,36057.69230769226,0.0,0.08,27505408.076923084,0,0,0
1,1,15342.5,6205.956923076924,3803.4615384615386,0.0,1,37568.08381909115,37568.08381909115,0.0,0.08,27501604.615384616,0,0,0
2,2,14575.375,8967.076923076924,3803.4615384615386,0.0,1,39141.742898981036,34547.30079629348,4594.442102687595,0.08,27497801.153846152,0,0,0
3,3,13846.606249999999,9469.92,3803.4615384615386,0.0,1,40781.31971137089,0.0,40781.31971137089,0.08,27493997.69230769,0,0,0
4,4,13154.275937499999,10351.569230769232,3782.307692307693,0.0,1,42489.57543084617,0.0,42489.57543084617,0.08,27490215.384615384,0,0,0
5,5,12496.562140624997,10988.184615384616,4570.7692307692305,0.0,1,44269.386892601986,0.0,44269.386892601986,0.08,27485644.61538461,0,0,0
6,6,11871.734033593748,10372.68923076923,2878.4615384615386,0.0,2,46123.75143725564,13652.923076923098,32470.828360332478,0.08,27482766.153846152,0,0,0
7,7,11278.14733191406,10372.68923076923,2795.769230769231,0.0,3,48055.79195860193,13521.634615384606,34534.15734321734,0.08,27479970.38461538,0,0,0
8,8,11278.14733191406,10769.083076923076,2795.769230769231,0.0,3,50068.762162808205,30932.451923076966,19136.310239731345,0.08,27477174.61538461,0,0,0
9,9,11842.054698509764,11190.313846153846,2795.769230769231,0.0,3,50068.762162808205,19530.909018730425,30537.85314407789,0.08,27474378.84615384,0,0,0
10,10,12434.157433435254,11020.615384615385,2795.769230769231,0.0,3,48152.1202993701,29393.375989834545,18758.744309535505,0.08,27471583.076923072,0,0,0
11,11,13055.865305107016,11902.264615384616,2007.3076923076924,0.0,4,46308.8478557858,20264.541914511938,26044.305941273804,0.08,27469575.76923076,0,0,0
12,12,13708.658570362368,11380.307692307693,2007.3076923076924,0.0,4,44536.136236525585,28503.127191376356,16033.00904514918,0.08,27467568.461538453,0,0,0
13,13,14394.091498880487,11020.615384615385,1911.1538461538462,0.0,5,42831.28435963782,18169.526654777488,24661.757704860265,0.08,27465657.307692297,0,0,0
14,14,15113.796073824513,11020.615384615385,1911.1538461538462,0.0,5,41191.69454110844,16840.845039733696,24350.84950137481,0.08,27463746.153846145,0,0,0
15,15,15869.485877515739,11020.615384615385,968.8461538461538,0.0,6,39614.86853676826,17626.97221418741,21987.896322580786,0.08,27462777.307692297,0,0,0
16,16,16662.960171391525,11020.615384615385,968.8461538461538,0.0,5,38098.403735715685,15844.038515309665,22254.365220406024,0.08,27461808.461538453,0,0,0
17,17,17496.108179961102,11020.615384615385,1757.3076923076924,0.0,5,36639.98949945792,32609.590654517524,4030.398844940374,0.08,27460051.153846145,0,0,0
18,18,18370.913588959156,11902.264615384616,1757.3076923076924,0.0,4,35237.403641188845,19445.343903476805,15792.059737712008,0.08,27458293.846153837,0,0,0
19,19,19289.459268407114,11020.615384615385,1853.4615384615386,0.0,3,33888.509039841236,25069.228903544044,8819.280136297164,0.08,27456440.384615377,0,0,0
20,20,20253.93223182747,11020.615384615385,2795.769230769231,0.0,3,32591.250383754235,5866.425069075763,26724.825314678474,0.08,27453644.615384605,0,0,0
21,21,21266.628843418846,11174.461538461539,2795.769230769231,0.0,3,31343.65103899361,15433.574930924262,15910.076108069323,0.08,27450848.84615384,0,0,0
22,22,22329.96028558979,11872.615384615385,2007.3076923076924,0.0,4,30143.810037552616,13392.455515953883,16751.354521598732,0.08,27448841.538461532,0,0,0
23,23,23446.458299869282,11020.615384615385,2007.3076923076924,0.0,4,28989.899180846543,24403.453091239207,4586.446089607321,0.08,27446834.23076923,0,0,0
24,24,24618.78121486275,11020.615384615385,2007.3076923076924,0.0,4,27880.160254084356,24395.492993673106,3484.6672604112614,0.08,27444826.923076913,0,0,0
25,25,25849.720275605887,11528.480769230771,2007.3076923076924,547.2115384615379,4,26812.902347276424,15191.632087760754,11621.270259515702,0.08,27442819.615384605,0,0,0
26,26,25849.720275605887,11744.812307692308,2007.3076923076924,570.133240038528,4,25786.499278793082,25786.499278793082,0.0,0.08,27440812.307692297,0,0,0
27,27,25849.720275605887,11323.581538461538,2007.3076923076924,524.2898368845495,3,25786.499278793082,23447.548900335925,2338.9503784571666,0.08,27438804.999999993,0,0,0
28,28,25849.720275605887,11020.615384615385,2795.769230769231,0.0,3,25786.499278793082,24733.33596633232,1053.1633124607647,0.08,27436009.23076922,0,0,0
29,29,24557.23426182559,11020.615384615385,2795.769230769231,0.0,2,25786.499278793082,22238.119091364122,3548.3801874289707,0.08,27433213.46153845,0,0,0
30,30,23329.37254873431,11020.615384615385,4488.076923076923,0.0,2,26866.649092237298,20502.550131421143,6364.098960816172,0.08,27428725.38461537,0,0,0
31,31,22162.903921297595,11082.545043692307,4488.076923076923,207.1967606153848,2,27992.0444276452,27992.0444276452,0.0,0.08,27424237.307692293,0,0,0
32,32,21054.758725232714,11020.615384615385,4488.076923076923,205.20432692307696,2,29164.580538093735,19583.848278425558,9580.732259668215,0.08,27419749.230769217,0,0,0
33,33,20002.020788971076,11020.615384615385,4488.076923076923,469.4308903846156,2,30386.232065383687,20107.005241285973,10279.226824097777,0.08,27415261.15384614,0,0,0
34,34,19001.919749522523,11020.615384615385,4488.076923076923,296.4010752682527,2,31659.056365489145,17777.512316567965,13881.544048921103,0.08,27410773.07692306,0,0,0
35,35,18051.823762046395,11020.615384615385,4488.076923076923,446.07387402173003,2,32985.19697330414,32985.19697330414,0.0,0.08,27406284.99999998,0,0,0
36,36,17149.232573944075,11020.615384615385,4488.076923076923,307.53468809463334,2,34366.887212523136,33015.00283674538,1351.8843757777659,0.08,27401796.923076905,0,0,0
37,37,16291.77094524687,12616.638253676927,3699.615384615385,432.5634582563273,3,35806.4539567299,23452.169999151596,12354.28395757836,0.08,27398097.307692293,0,0,0
38,38,15477.182397984525,11020.615384615385,3699.615384615385,275.74073651290337,3,37306.321548034546,27885.017485385015,9421.304062649508,0.08,27394397.692307673,0,0,0
39,39,14703.323278085298,11097.005457715615,3699.615384615385,255.57666432299828,3,38869.015879852435,24487.480004307028,14381.535875545418,0.08,27390698.076923054,0,0,0
40,40,13968.157114181033,11020.615384615385,2411.153846153846,267.5069303225083,5,40497.168650706095,38613.48153415448,1883.6871165516259,0.08,27388286.9230769,0,0,0
41,41,13269.74925847198,12067.889230769231,2411.153846153846,240.4491285083393,5,42193.52179620858,27043.269230769274,15150.252565439323,0.08,27385875.76923075,0,0,0
42,42,12606.26179554838,11020.615384615385,2411.153846153846,494.88314777295875,4,43960.93210669644,13188.279632008942,30772.65247468751,0.08,27383464.615384597,0,0,0
43,43,12606.26179554838,11020.615384615385,1507.3076923076924,295.10253907916376,3,45802.37603828644,41940.491112849224,3861.8849254372108,0.08,27381957.307692286,0,0,0
44,44,12606.26179554838,11020.615384615385,2795.769230769231,380.45061784018435,3,45802.37603828644,17902.661391292237,27899.71464699419,0.08,27379161.538461518,0,0,0
45,45,13236.5748853258,11020.615384615385,2795.769230769231,89.02886684829376,3,45802.37603828644,35141.64478692663,10660.731251359804,0.08,27376365.76923075,0,0,0
46,46,13898.40362959209,11902.264615384614,2795.769230769231,234.21993315170653,3,44049.052257792995,17824.233528481695,26224.818729311348,0.08,27373569.99999998,0,0,0
47,47,14593.323811071696,11712.132793604984,2795.769230769231,203.2439049101161,3,42362.84604946843,30400.458727021767,11962.38732244662,0.08,27370774.23076921,0,0,0
48,48,15322.990001625281,11020.615384615385,2795.769230769231,370.346804112646,3,40741.18813971656,32905.115436804255,7836.072702912322,0.08,27367978.46153844,0,0,0
49,49,16089.139501706546,11020.615384615385,2795.769230769231,370.22600167198345,3,39181.60760723047,21944.353587309142,17237.254019921395,0.08,27365182.692307673,0,0,0
50,50,16893.596476791874,11020.615384615385,2795.769230769231,230.5482085638576,3,37681.72811804659,23127.761797306193,14553.966320740368,0.08,27362386.9230769,0,0,0
51,51,17738.276300631467,11137.582945343991,2795.769230769231,391.3359130549654,3,36239.26430472323,29353.8040868258,6885.460217897425,0.08,27359591.15384613,0,0,0
52,52,17738.276300631467,11297.538461538463,2795.769230769231,355.8400021114993,3,34852.01828412509,28265.037880074546,6586.980404050542,0.08,27356795.384615358,0,0,0
53,53,17738.276300631467,11359.076923076924,2795.769230769231,375.3531066250607,3,34852.01828412509,27043.269230769223,7808.74905335587,0.08,27353999.615384594,0,0,0
54,54,17738.276300631467,11020.615384615385,2795.769230769231,337.4856953305431,3,34852.01828412509,18725.88651952867,16126.131764596465,0.08,27351203.846153826,0,0,0
55,55,17738.276300631467,11020.615384615385,2795.769230769231,311.14670079444784,3,34852.01828412509,34852.01828412509,0.0,0.08,27348408.076923054,0,0,0
56,56,17738.276300631467,11020.615384615385,2795.769230769231,424.8072662339421,3,34852.01828412509,33034.022460215034,1817.9958239100456,0.08,27345612.307692282,0,0,0
57,57,16851.362485599893,11109.447720406324,2795.769230769231,297.2044814733863,3,34852.01828412509,25093.45316457007,9758.565119555033,0.08,27342816.53846151,0,0,0
58,58,16008.794361319899,11020.615384615385,2795.769230769231,305.14391154175604,3,36311.906291440326,19978.662220045313,16333.244071394947,0.08,27340020.769230742,0,0,0
59,59,15208.354643253902,11020.615384615385,2795.769230769231,269.79152691623545,3,37832.94636680869,32158.00441178738,5674.941955021299,0.08,27337224.999999978,0,0,0
60,60,15208.354643253902,11020.615384615385,2795.769230769231,500.5833492668635,3,39417.700059752184,30942.957126674257,8474.742933077947,0.08,27334429.230769206,0,0,0
61,61,15208.354643253902,11020.615384615385,2795.769230769231,501.0356830504484,3,39417.700059752184,27043.26923076928,12374.430828982906,0.08,27331633.461538434,0,0,0
62,62,15208.354643253902,11020.615384615385,2795.769230769231,355.9101319071252,3,39417.700059752184,18028.846153846163,21388.853905906002,0.08,27328837.692307666,0,0,0
63,63,15208.354643253902,11020.615384615385,2795.769230769231,423.1830253582029,3,39417.700059752184,39023.523059154664,394.1770005975215,0.08,27326041.923076898,0,0,0
64,64,15208.354643253902,11020.615384615385,2795.769230769231,371.6219965453641,3,39417.700059752184,24077.438479306962,15340.26158044521,0.08,27323246.153846126,0,0,0
65,65,15208.354643253902,12426.461538461537,2795.769230769231,585.9981957623278,3,39417.700059752184,9066.071013742992,30351.62904600921,0.08,27320450.384615358,0,0,0
66,66,15208.354643253902,11143.283653846154,2795.769230769231,410.4086538461545,3,39417.700059752184,31773.39323793956,7644.306821812647,0.08,27317654.615384582,0,0,0
