,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Total_Consumer_Demand,Fulfilled_Demand,Unfulfilled_Demand,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile
0,0,16150.0,2798.793846153846,4591.923076923077,0.0,0,36057.69230769226,36057.69230769226,0.0,0.08,27505408.076923084,0,0.0,0.0
1,1,15342.5,5743.52,3803.4615384615386,0.0,1,37568.08381909115,37568.08381909115,0.0,0.08,27501604.615384616,0,0.0,0.0
2,2,14575.375,7360.553846153846,3803.4615384615386,0.0,1,39141.742898981036,34547.30079629348,4594.442102687595,0.08,27497801.153846152,0,0.0,0.0
3,3,13846.606249999999,9698.14153846154,3803.4615384615386,0.0,1,40781.31971137089,0.0,40781.31971137089,0.08,27493997.69230769,0,0.0,0.0
4,4,13154.275937499999,9864.886153846153,3782.307692307693,0.0,1,42489.57543084617,0.0,42489.57543084617,0.08,27490215.384615384,0,0.0,0.0
5,5,12496.562140624997,10521.69846153846,4570.7692307692305,0.0,1,44269.386892601986,0.0,44269.386892601986,0.08,27485644.61538461,0,0.0,0.0
6,6,11871.734033593748,10521.69846153846,2878.4615384615386,0.0,2,46123.75143725564,23499.634615384617,22624.116821870968,0.08,27482766.153846152,0,0.0,0.0
7,7,11278.14733191406,10521.69846153846,2795.769230769231,0.0,3,48055.79195860193,13521.634615384606,34534.15734321734,0.08,27479970.38461538,0,0.0,0.0
8,8,11278.14733191406,10521.69846153846,2795.769230769231,0.0,3,50068.762162808205,23809.586538461568,26259.17562434674,0.08,27477174.61538461,0,0.0,0.0
9,9,11842.054698509764,10521.69846153846,2795.769230769231,0.0,3,50068.762162808205,19279.030792203186,30789.731370605125,0.08,27474378.84615384,0,0.0,0.0
10,10,12434.157433435254,10521.69846153846,2795.769230769231,0.0,3,48152.1202993701,28046.690361642944,20105.4299377271,0.08,27471583.076923072,0,0.0,0.0
11,11,13055.865305107016,12392.086153846152,2449.6153846153843,0.0,4,46308.8478557858,17813.10416952238,28495.743686263366,0.08,27469133.461538453,0,0.0,0.0
12,12,13708.658570362368,11359.076923076924,2449.6153846153843,0.0,4,44536.136236525585,36584.800867358914,7951.335369166649,0.08,27466683.84615384,0,0.0,0.0
13,13,14394.091498880487,11020.615384615385,2353.461538461538,0.0,5,42831.28435963782,21147.979578503346,21683.304781134408,0.08,27464330.384615377,0,0.0,0.0
14,14,15113.796073824513,11020.615384615385,2353.461538461538,0.0,5,41191.69454110844,25903.01783877757,15288.676702330938,0.08,27461976.923076916,0,0.0,0.0
15,15,15869.485877515739,11020.615384615385,1565.0,0.0,6,39614.86853676826,11739.269210385475,27875.59932638274,0.08,27460411.923076913,0,0.0,0.0
16,16,16662.960171391525,11020.615384615385,1565.0,0.0,5,38098.403735715685,35091.56350677678,3006.840228938906,0.08,27458846.923076913,0,0.0,0.0
17,17,17496.108179961102,11020.615384615385,1911.1538461538462,0.0,5,36639.98949945792,15327.072796952807,21312.916702505147,0.08,27456935.76923076,0,0.0,0.0
18,18,18370.913588959156,11020.615384615385,1911.1538461538462,0.0,4,35237.403641188845,28180.95835123117,7056.445289957685,0.08,27455024.61538461,0,0.0,0.0
19,19,19289.459268407114,11020.615384615385,1584.2307692307693,0.0,4,33888.509039841236,31790.10868049162,2098.400359349611,0.08,27453440.384615377,0,0.0,0.0
20,20,20253.93223182747,11020.615384615385,2372.6923076923076,0.0,4,32591.250383754235,13036.500153501695,19554.750230252543,0.08,27451067.692307685,0,0.0,0.0
21,21,21266.628843418846,11020.615384615385,2372.6923076923076,0.0,4,31343.65103899361,19768.86862812192,11574.782410871665,0.08,27448694.999999993,0,0.0,0.0
22,22,22329.96028558979,11020.615384615385,1584.2307692307693,0.0,5,30143.810037552616,10760.256218376417,19383.5538191762,0.08,27447110.76923076,0,0.0,0.0
23,23,23446.458299869282,11020.615384615385,1584.2307692307693,0.0,5,28989.899180846543,20106.475821579235,8883.423359267275,0.08,27445526.538461532,0,0.0,0.0
24,24,24618.78121486275,11020.615384615385,1584.2307692307693,0.0,5,27880.160254084356,19295.82578096155,8584.334473122835,0.08,27443942.307692297,0,0.0,0.0
25,25,25849.720275605887,11190.019230769232,1584.2307692307693,547.2115384615379,5,26812.902347276424,16844.155435353514,9968.746911922939,0.08,27442358.076923065,0,0.0,0.0
26,26,27142.206289386184,11020.615384615385,1584.2307692307693,570.133240038528,5,25786.499278793082,23796.291637545513,1990.2076412475765,0.08,27440773.846153833,0,0.0,0.0
27,27,28499.316603855495,11020.615384615385,1584.2307692307693,524.2898368845495,4,24799.387117550934,22021.921102956232,2777.466014594698,0.08,27439189.615384605,0,0.0,0.0
28,28,29924.282434048273,11020.615384615385,2372.6923076923076,0.0,4,23850.06180004963,14750.955221603852,9099.106578445748,0.08,27436816.923076913,0,0.0,0.0
29,29,31420.496555750688,11020.615384615385,2372.6923076923076,0.0,3,22937.07683862955,11697.909187701056,11239.167650928464,0.08,27434444.230769217,0,0.0,0.0
30,30,31420.496555750688,11020.615384615385,2795.769230769231,0.0,3,22059.04111745741,19529.344541400773,2529.6965760566504,0.08,27431648.461538445,0,0.0,0.0
31,31,29849.47172796315,11020.615384615385,2795.769230769231,356.63045492307697,3,22059.04111745741,22059.04111745741,0.0,0.08,27428852.692307677,0,0.0,0.0
32,32,28356.998141564993,11020.615384615385,2795.769230769231,205.20432692307696,3,22983.054450565265,22983.054450565265,0.0,0.08,27426056.92307691,0,0.0,0.0
33,33,26939.148234486744,11020.615384615385,2795.769230769231,361.33428530769254,3,23945.773030887325,23945.773030887325,0.0,0.08,27423261.15384614,0,0.0,0.0
34,34,25592.190822762404,11020.615384615385,2795.769230769231,292.5785713024754,3,24948.818151221323,24948.818151221323,0.0,0.08,27420465.384615365,0,0.0,0.0
35,35,24312.581281624283,11805.23076923077,2795.769230769231,425.63657292829424,3,25993.879017387713,25993.879017387713,0.0,0.076,27417669.6153846,0,0.0,0.0
36,36,23096.95221754307,11493.932307692308,2795.769230769231,270.33166887667164,3,27082.71559298337,20442.645444410493,6640.070148572881,0.076,27414873.84615383,0,0.0,0.0
37,37,21942.104606665915,11020.615384615385,2795.769230769231,555.2109379630377,3,28217.161563297097,28217.161563297097,0.0,0.076,27412078.07692306,0,0.0,0.0
38,38,20844.999376332617,11020.615384615385,2795.769230769231,320.9417380833671,3,29399.127423377362,29399.127423377362,0.0,0.076,27409282.307692293,0,0.0,0.0
39,39,19802.749407515985,11020.615384615385,2788.4615384615386,393.10419872128796,4,30630.60369545519,25106.437434097094,5524.166261358063,0.076,27406493.84615383,0,0.0,0.0
