,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Total_Consumer_Demand,Fulfilled_Demand,Unfulfilled_Demand,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile
0,0,17850.0,2785.956923076923,1109.4769230769232,0.0,0,36057.69230769226,36057.69230769226,0.0,0.08,27505408.076923084,0,0.0,0.0
1,1,18742.5,6090.375384615385,1474.723076923077,0.0,1,34677.39689812798,34677.39689812798,0.0,0.08,27500912.307692308,0,0.0,0.0
2,2,19679.625,9261.563076923077,1189.5846153846155,0.0,1,33349.93946281349,33349.93946281349,0.0,0.08,27496416.538461536,0,0.0,0.0
3,3,19679.625,10714.018461538462,2582.6923076923076,0.0,1,32073.29735391315,4088.048254443273,27985.249099469864,0.08,27491920.769230764,0,0.0,0.0
4,4,19679.625,10926.732307692308,82.6923076923077,0.0,0,32073.29735391315,0.0,32073.29735391315,0.08,27487425.0,0,0.0,0.0
5,5,19679.625,11020.615384615385,442.30769230769226,0.0,0,32073.29735391315,6760.817307692308,25312.480046220822,0.08,27482833.076923072,0,0.0,0.0
6,6,19679.625,11020.615384615385,2387.8,0.0,0,32073.29735391315,7766.721153846163,24306.57620006696,0.08,27478241.15384615,0,0.0,0.0
7,7,19679.625,11020.615384615385,2307.6923076923076,0.0,0,32073.29735391315,20231.60219633581,11841.695157577296,0.08,27473649.230769224,0,0.0,0.0
8,8,19679.625,11020.615384615385,346.15384615384613,0.0,0,32073.29735391315,23861.364358748473,8211.932995164656,0.08,27469057.307692308,0,0.0,0.0
9,9,19679.625,11902.264615384616,1809.0923076923077,0.0,0,32073.29735391315,22560.60075260801,9512.69660130511,0.08,27464465.384615384,0,0.0,0.0
10,10,19679.625,11020.615384615385,1809.092307692308,0.0,1,32073.29735391315,13183.951732931771,18889.345620981327,0.08,27459894.615384616,0,0.0,0.0
11,11,19679.625,11020.615384615385,346.15384615384613,0.0,2,32073.29735391315,17691.163271393303,14382.134082519788,0.08,27455406.538461536,0,0.0,0.0
12,12,19679.625,11020.615384615385,7.3076923076923075,0.0,3,32073.29735391315,32073.29735391315,0.0,0.08,27451706.92307692,0,0.0,0.0
13,13,19679.625,11359.076923076924,353.46153846153845,0.0,3,32073.29735391315,32073.29735391315,0.0,0.08,27448007.3076923,0,0.0,0.0
14,14,19679.625,11902.264615384616,1488.1846153846154,0.0,3,32073.29735391315,24419.396057079433,7653.901296833698,0.08,27444307.692307685,0,0.0,0.0
15,15,19679.625,11902.264615384616,2147.9384615384615,0.0,2,32073.29735391315,19311.77804800267,12761.519305910431,0.08,27440608.076923072,0,0.0,0.0
16,16,19679.625,11020.615384615385,949.6153846153845,0.0,0,32073.29735391315,32073.29735391315,0.0,0.08,27436887.307692297,0,0.0,0.0
17,17,19679.625,11902.264615384616,913.1846153846154,0.0,1,32073.29735391315,31027.664184548445,1045.6331693647012,0.08,27432641.538461525,0,0.0,0.0
18,18,19679.625,11020.615384615385,1067.0307692307695,0.0,1,32073.29735391315,18349.579127385274,13723.718226527822,0.08,27428395.769230757,0,0.0,0.0
19,19,19679.625,11020.615384615385,3942.307692307693,0.0,1,32073.29735391315,25439.604363073584,6633.692990839547,0.08,27424149.999999993,0,0.0,0.0
20,20,19679.625,11902.264615384616,590.2461538461539,0.0,1,32073.29735391315,28224.501671443562,3848.7956824695752,0.08,27419904.230769217,0,0.0,0.0
21,21,19679.625,11020.615384615385,647.8000000000001,0.0,1,32073.29735391315,30673.031393181907,1400.2659607312369,0.08,27415658.461538453,0,0.0,0.0
22,22,19679.625,11020.615384615385,1067.0307692307695,0.0,1,32073.29735391315,31246.69770460537,826.5996493077805,0.08,27411412.69230768,0,0.0,0.0
23,23,19679.625,11020.615384615385,939.5846153846155,0.0,1,32073.29735391315,18028.84615384614,14044.451200066953,0.08,27407166.923076913,0,0.0,0.0
24,24,19679.625,11020.615384615385,849.5846153846155,0.0,1,32073.29735391315,20881.543097870926,11191.754256042183,0.08,27402921.15384614,0,0.0,0.0
25,25,19679.625,14082.793076923073,0.0,547.2115384615379,1,32073.29735391315,32073.29735391315,0.0,0.08,27398675.38461537,0,0.0,0.0
26,26,19679.625,11020.615384615385,1067.0307692307692,526.2641753259888,1,32073.29735391315,32073.29735391315,0.0,0.08,27394429.6153846,0,0.0,0.0
27,27,19679.625,11020.615384615385,932.2769230769231,506.11868128765775,1,32073.29735391315,23144.939117379756,8928.358236533368,0.08,27390183.84615383,0,0.0,0.0
28,28,19679.625,11020.615384615385,214.72307692307706,62.040220309431106,1,32073.29735391315,6735.392444321757,25337.904909591372,0.08,27385938.07692306,0,0.0,0.0
