,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Total_Consumer_Demand,Fulfilled_Demand,Unfulfilled_Demand,Avg_Manufacturer_Intensity,Total_Reserves
0,0,17850.0,2809.095384615385,2034.4,0.0,0,30769.471153846116,30769.471153846116,0.0,0.08,89664454.23076923
1,1,18742.5,8133.033846153847,887.8615384615385,0.0,0,29591.60986904853,29591.60986904853,0.0,0.08,89658908.46153846
2,2,18742.5,11886.006153846154,0.0,0.0,1,28458.83734119717,28458.83734119717,0.0,0.08,89654439.6153846
3,3,18742.5,12520.024615384616,0.0,0.0,1,28458.83734119717,3488.4950974465946,24970.342243750598,0.08,89649970.76923077
4,4,18742.5,13309.846153846154,7.3076923076923075,0.0,1,28458.83734119717,0.0,28458.83734119717,0.08,89645501.92307693
5,5,18742.5,13309.846153846154,1769.2307692307693,0.0,0,28458.83734119717,5769.275841346153,22689.56149985105,0.08,89641033.07692309
6,6,18742.5,13309.846153846154,0.0,0.0,0,28458.83734119717,11461.043309585602,16997.79403161164,0.08,89635487.30769227
7,7,18742.5,14374.633846153847,188.24615384615385,0.0,0,28458.83734119717,10069.98355786675,18388.853783330484,0.08,89629941.5384615
8,8,18742.5,13309.846153846154,2611.323076923077,0.0,0,28458.83734119717,28458.83734119717,0.0,0.08,89624395.76923074
9,9,18742.5,13309.846153846154,673.0769230769231,0.0,0,28458.83734119717,22775.926055773445,5682.911285423758,0.08,89618849.99999999
10,10,18742.5,14374.633846153847,2188.246153846154,0.0,0,28458.83734119717,11961.193389641126,16497.643951556118,0.08,89613304.2307692
11,11,18742.5,13309.846153846154,1437.8153846153846,0.0,1,28458.83734119717,28458.83734119717,0.0,0.08,89607765.76923074
12,12,18742.5,13872.578461538462,0.0,0.0,2,28458.83734119717,28458.83734119717,0.0,0.08,89603419.61538458
13,13,18742.5,13660.443076923078,0.0,0.0,2,28458.83734119717,23429.545389502815,5029.291951694386,0.08,89599073.46153842
14,14,18742.5,13309.846153846154,230.76923076923077,0.0,3,28458.83734119717,15384.73557692308,13074.101764274166,0.08,89596496.53846149
15,15,18742.5,13309.846153846154,769.2307692307693,0.0,3,28458.83734119717,16506.1256578944,11952.711683302843,0.08,89593919.61538458
16,16,18742.5,14094.461538461539,230.76923076923077,0.0,2,28458.83734119717,21369.573124912753,7089.26421628446,0.08,89591342.69230767
17,17,18742.5,13309.846153846154,0.0,0.0,1,28458.83734119717,28458.83734119717,0.0,0.08,89588758.46153843
18,18,18742.5,14374.633846153847,199.78461538461545,0.0,0,28458.83734119717,25973.877337533984,2484.9600036632,0.08,89584981.9230769
19,19,18742.5,14263.692307692309,0.0,0.0,2,28458.83734119717,18799.796057866733,9659.041283330496,0.08,89581212.69230765
20,20,18742.5,13663.692307692309,0.0,0.0,2,28458.83734119717,17661.44256421885,10797.394776978386,0.08,89577443.46153842
21,21,18742.5,13309.846153846154,0.0,0.0,2,28458.83734119717,28458.83734119717,0.0,0.08,89573674.23076919
22,22,18742.5,13309.846153846154,442.3076923076923,0.0,2,28458.83734119717,27388.337498255554,1070.499842941622,0.08,89569904.99999996
