,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
0,0,15651.83336143764,9900.0,6300.0,142346.15384615384,94654.66027128077,0.0,1,0,1682692.3076923082,1682692.3076923082,0.0,0.04,129945345.33972871,0,0,0,0,296577.7371943579,2524038.4615384615
1,1,13936.722849452479,9900.0,6300.0,121764.98390987713,83907.93014324678,0.0,2,0,1687729.739754397,1687729.739754397,0.0,0.04,129899284.02957864,0,0,0,0,321101.8033011856,4001288.3410856687
2,2,12711.969058088887,9900.0,6300.0,121812.37582192503,76592.00949931666,0.0,2,0,1692045.5026025358,1689453.8257070477,2591.676895488632,0.04,129860567.75285712,0,0,0,0,313400.9590226765,3518876.1132635316
3,3,11826.26824369614,9900.0,6300.0,121889.14013061668,71376.51061177804,0.0,1,0,1695797.5037279152,1299043.8159728432,396753.68775507197,0.04,129827096.11020218,0,0,0,0,332465.6804048333,2717173.5965385158
4,4,11181.349796400751,9900.0,6300.0,121973.82024888604,67769.07799754462,0.0,0,0,1699157.710953349,1499991.4834894682,199166.22746388105,0.04,129797261.05775222,0,0,0,0,311669.09506038047,2320447.954514885
5,5,10712.21414084723,9900.0,6300.0,122086.43208613564,65168.116108909846,0.0,1,0,1702238.5189704471,1238742.181748581,463496.337221867,0.04,129770152.74569799,0,0,0,0,314253.6565280681,2069702.6265240207
6,6,10374.453365493557,9900.0,6300.0,122221.06207655025,63262.389508280256,0.0,1,0,1705114.6067110365,750933.0654288868,954181.5412821491,0.04,129744979.43701673,0,0,0,0,299012.22071925516,2094248.860254165
7,7,10416.302241527319,12600.0,6300.0,122347.86632214756,54689.7918810125,0.0,3,0,1707837.1798281362,921399.8587822869,786437.3210458487,0.04,129728408.0252557,0,0,0,0,300337.7571577679,2298237.1533092256
8,8,10576.756910499444,11700.0,6300.0,122452.31850438699,53318.4091019633,0.0,4,0,1710111.186160115,852438.4688129269,857672.7173471886,0.04,129713237.31810457,0,0,0,0,309355.80936135666,2003282.9731988222
9,9,10885.857849771757,11700.0,6300.0,122555.78827225052,53502.605291943335,0.0,6,0,1712244.3775774369,1365723.1871311215,346521.1904463154,0.04,129697911.75914958,0,0,0,0,332678.1560871876,2120735.5508468747
