,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile
0,0,31500000.0,2.423076923076923,3.4615384615384612,0.0,0,0,96153.84615384621,96153.84615384621,0.0,5e-05,34606.53846153846,0,0,0
1,1,33075000.0,4.846153846153846,3.4615384615384612,0.0,0,0,93836.5454758204,93836.5454758204,0.0,5e-05,34603.07692307693,0,0,0
2,2,34728750.0,5.815384615384614,3.4615384615384612,0.0,0,0,91575.0915750916,91575.0915750916,0.0,5e-05,34599.61538461539,0,0,0
3,3,36465187.5,5.815384615384614,3.4615384615384612,0.0,0,0,89368.13854840041,54972.978333703184,34395.16021469736,5e-05,34596.15384615385,0,0,0
4,4,38288446.875,5.815384615384614,3.4615384615384612,0.0,0,0,87214.3729286586,0.0,87214.3729286586,5e-05,34592.692307692305,0,0,0
5,5,40202869.21875,5.815384615384614,3.4615384615384612,0.0,0,0,85112.51290323865,0.0,85112.51290323865,5e-05,34589.230769230766,0,0,0
6,6,42213012.6796875,5.815384615384614,3.4615384615384612,0.0,0,0,83061.3075511034,24038.461538461535,59022.846012641974,5e-05,34585.769230769234,0,0,0
7,7,44323663.31367188,5.815384615384614,3.4615384615384612,0.0,0,0,81059.53609832225,24038.46153846153,57021.0745598608,5e-05,34582.307692307695,0,0,0
8,8,46539846.47935548,5.815384615384614,3.4615384615384612,0.0,0,0,79106.00719152715,48076.92307692308,31029.084114604077,5e-05,34578.846153846156,0,0,0
9,9,48866838.803323254,5.815384615384614,3.346153846153846,0.0,1,0,77199.55818887847,29461.538461538483,47738.01972734004,5e-05,34575.5,0,0,0
10,10,51310180.74348942,5.815384615384614,3.346153846153846,0.0,1,0,75339.05446812112,48076.92307692308,27262.131391197963,5e-05,34572.153846153844,0,0,0
11,11,53875689.78066389,5.815384615384614,3.346153846153846,0.0,1,0,73523.38875131283,72115.38461538464,1408.0041359281886,5e-05,34568.807692307695,0,0,0
12,12,56569474.26969709,5.815384615384614,3.346153846153846,0.0,1,0,71751.48044582963,49230.76923076928,22520.711215060313,5e-05,34565.46153846154,0,0,0
13,13,59397947.983181946,5.815384615384614,3.346153846153846,0.0,1,0,70022.27500125025,24423.076923076926,45599.19807817338,5e-05,34562.11538461538,0,0,0
14,14,62367845.38234105,5.815384615384614,3.346153846153846,0.0,0,0,68334.74328174251,48076.923076923085,20257.820204819403,5e-05,34558.769230769234,0,0,0
15,15,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,66687.88095357176,47230.76923076925,19457.111722802467,5e-05,34555.30769230769,0,0,0
16,16,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,48076.923076923085,17003.784810450707,5e-05,34551.846153846156,0,0,0
17,17,65486237.65145811,5.815384615384614,3.4615384615384612,0.0,0,0,65080.70788737383,45615.38461538462,19465.323271989175,5e-05,34548.38461538462,0,0,0
