,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Total_Processor_Throughput,Available_EOL_Pool,Total_Mineral_In_System,Cumulative_Processor_Yield_Loss,Cumulative_Recovery_Loss,Lost_In_Transit_Mineral,Cumulative_Reserve_Replacement,Mass_Balance_Discrepancy,Disrupted_Mines_Count,Disrupted_Processors_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
0,0,29931538.847403444,21000000.0,10500000.0,7.270628698224852,3.9766104859317983,0.0,0.0,0.0,34664.19298314571,0.0,0.0,0.0,1.1929831457795395,8.731149137020111e-11,0,0,0,1602564.1025641065,1602564.1025641065,0.0,2.9999999999999997e-06,34607.21637265985,0,0.0,0.0,0,18.4559817877069,2403846.1538461517
1,1,31044895.27340173,21000000.0,10500000.0,7.270628698224852,3.970884049487251,0.0,0.0,0.0,34665.384248360475,0.0,0.0,0.0,2.384248360625715,1.673470251262188e-10,0,0,0,1604624.148227765,1604624.148227765,0.0,2.9999999999999997e-06,34604.43675382521,0,0.0,0.0,0,21.175169957116527,3072212.509825372
2,2,32341240.001172382,21000000.0,10500000.0,7.271146599065102,4.047445004637544,0.0,0.6734653113668714,0.0,34666.47963504225,0.11884681965297739,0.0,0.0,3.5984818620169787,1.3096723705530167e-10,0,0,0,1606589.558630727,1606589.558630727,0.0,2.9999999999999997e-06,34601.603542321966,0,0.0,0.0,0,21.42175525299467,2682412.5610724487
3,3,33554169.074940547,21000000.0,10500000.0,7.272071560722009,4.134222721669084,0.0,1.2509618158639637,0.0,34667.47429308817,0.364455590254676,0.0,0.0,4.838748678517705,1.0186340659856796e-10,0,0,0,1608540.0858926142,1592025.4963222418,16514.58957037254,2.9999999999999997e-06,34598.70958641679,0,0.0,0.0,0,21.494485435838353,2068540.1945881005
4,4,34684650.90204344,21000000.0,10500000.0,7.274180701284123,4.215498815846164,0.0,2.309912096204192,0.0,34668.30645560439,0.7969427187405398,0.0,0.0,6.103398323271554,1.5279510989785194e-10,0,0,0,1610497.062372787,1562460.63438754,48036.42798524641,2.9999999999999997e-06,34595.7587372457,0,0.0,0.0,0,16.071884574331342,1049534.6519488413
5,5,35734612.98771424,21000000.0,10500000.0,7.275735193631719,4.291334372301222,0.0,2.215677903256127,0.0,34669.195351528215,1.1954471067147405,0.0,0.0,7.390798634961922,4.3655745685100555e-11,0,0,0,1612460.4323068054,1558538.981198608,53921.45110819813,2.9999999999999997e-06,34592.75480318509,0,0.0,0.0,0,19.437058973334846,1712213.7646282103
6,6,36706727.073471986,21000000.0,10500000.0,7.2775712036794635,4.36185418753877,0.0,2.5842409073259294,0.0,34670.020448715375,1.6789061758702972,0.0,0.0,8.699354891223553,-7.275957614183426e-12,0,0,0,1614430.0626729548,1567860.388952627,46569.67372032737,2.9999999999999997e-06,34589.70150525381,0,0.0,0.0,0,21.7699594888417,1356543.9423154842
7,7,37604219.968897924,21000000.0,10500000.0,7.2788227976573285,3.887087157483467,0.0,2.266043585739382,0.0,34670.75926298955,2.1062180489252156,0.0,0.0,9.865481038468594,7.275957614183426e-12,1,0,0,1616405.7600511273,1534420.487923891,81985.2721272363,2.9999999999999997e-06,34586.980544243575,0,0.0,0.0,0,22.82200283488475,1093506.4614443413
8,8,38430710.53029843,21000000.0,10500000.0,7.281044231710158,3.020261177500029,0.0,2.6572553198187174,0.0,34671.17350262668,2.598056765078964,0.0,0.0,10.7715593917186,-2.9103830456733704e-11,3,0,0,1618387.2855156283,1253408.8069531743,364978.478562454,2.9999999999999997e-06,34584.86636141933,0,0.0,0.0,0,22.392050928969464,887177.0675890594
9,9,39190071.936441526,21000000.0,10500000.0,7.282488987764895,3.0475230432603237,0.0,2.719451236763541,0.0,34671.5703493458,3.115466958930734,0.0,0.0,11.685816304696695,-1.4551915228366852e-11,3,0,0,1620374.3675132827,742957.6749798708,877416.6925334112,2.9999999999999997e-06,34582.73309528904,0,0.0,0.0,0,21.794794747287334,987611.6397146262
