,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit
0,0,31500000.0,6.1811538461538476,3.9758459001817634,0.0,0,0,1602564.102564103,1602564.102564103,0.0,2.9999999999999992e-06,34606.02415409982,0,0,0,0,9.81576923076923
1,1,33075000.0,6.1811538461538476,4.075279220831877,0.0,0,0,1563942.424597008,1563942.424597008,0.0,2.9999999999999992e-06,34601.94887487899,0,0,0,0,4807699.293401008
2,2,34728750.0,6.1811538461538476,4.07265235048264,0.0,1,0,1526251.5262515268,1526251.5262515268,0.0,2.9999999999999992e-06,34597.8762225285,0,0,0,0,3158117.0227127555
3,3,36465187.5,6.1811538461538476,4.177994369716173,0.0,1,0,1489468.9758066752,1204297.5967000485,285171.3791066262,2.9999999999999992e-06,34593.69822815879,0,0,0,0,2904718.674486158
4,4,38288446.875,6.1811538461538476,4.288603489911384,0.0,1,0,1453572.8821443105,804261.137836192,649311.7443081185,2.9999999999999992e-06,34589.40962466888,0,0,0,0,3434861.2386325453
5,5,40202869.21875,6.1811538461538476,4.29438832592599,0.0,2,0,1418541.8817206435,1061348.2902189628,357193.59150167997,2.9999999999999992e-06,34585.11523634295,0,0,0,0,2396978.0944761885
6,6,42213012.6796875,6.1811538461538476,4.2679579147698705,0.0,2,0,1384355.1258517248,1280698.1472566607,103656.97859506375,2.9999999999999992e-06,34580.847278428184,0,0,0,0,2255106.2001300487
7,7,44323663.31367188,6.1811538461538476,4.4161093961727,0.0,2,0,1350992.2683053736,1242354.7193039786,108637.54900139518,2.9999999999999992e-06,34576.43116903201,0,0,0,0,3524866.97565236
8,8,44323663.31367188,6.1811538461538476,4.347706451799546,0.0,3,0,1318433.4531921186,999475.284993424,318958.1681986946,2.9999999999999992e-06,34572.08346258021,0,0,0,0,3421893.211890916
9,9,44323663.31367188,6.1811538461538476,4.347706451799546,0.0,2,0,1318433.4531921186,582494.996654414,735938.4565377046,2.9999999999999992e-06,34567.735756128415,0,0,0,0,2499057.3543335865
10,10,44323663.31367188,6.1811538461538476,4.450270554363648,0.0,1,0,1318433.4531921186,748396.8395037457,570036.613688373,2.9999999999999992e-06,34563.28548557405,0,0,0,0,1007231.802422172
11,11,44323663.31367188,6.1811538461538476,4.527193631286726,0.0,1,0,1318433.4531921186,642274.5522113078,676158.9009808105,2.9999999999999992e-06,34558.758291942766,0,0,0,0,760747.9839111697
12,12,44323663.31367188,6.1811538461538476,4.527193631286726,0.0,0,0,1318433.4531921186,749566.2271955191,568867.2259965994,2.9999999999999992e-06,34554.23109831148,0,0,0,0,892586.3512969082
13,13,42107480.14798828,6.1811538461538476,4.604116708209802,0.0,0,0,1318433.4531921186,771466.127099581,546967.3260925376,2.9999999999999992e-06,34549.626981603265,0,0,0,0,1354807.987294405
14,14,40002106.140588865,6.1811538461538476,4.595005020118165,0.0,0,0,1352684.1816399884,561853.0889988311,790831.0926411578,2.9999999999999992e-06,34545.03197658315,0,0,0,0,1403577.9666453495
15,15,38002000.833559416,6.1811538461538476,4.567043245421359,0.0,0,0,1387824.6875706513,270084.6379615111,1117740.0496091405,2.9999999999999992e-06,34540.46493333773,0,0,0,0,1406979.1828672593
16,16,36101900.79188144,6.1811538461538476,4.497422325474546,0.0,0,0,1423878.08593683,213781.09537094503,1210096.9905658853,2.9999999999999992e-06,34535.967511012255,0,0,0,0,1448194.7657946474
17,17,36101900.79188144,6.1811538461538476,3.3546930465502918,0.0,1,0,1460868.0921796332,262977.01433116803,1197891.0778484652,2.9999999999999992e-06,34532.61281796571,0,0,0,0,1359044.8030757795
18,18,36101900.79188144,6.1811538461538476,3.3546930465502918,0.0,1,0,1460868.0921796332,294850.94410050067,1166017.1480791324,2.9999999999999992e-06,34529.25812491916,0,0,0,0,927055.8762335943
19,19,36101900.79188144,6.1811538461538476,3.3546930465502918,0.0,1,0,1460868.0921796332,517195.1695621006,943672.9226175325,2.9999999999999992e-06,34525.903431872604,0,0,0,0,943592.2231324345
20,20,37906995.83147552,6.1811538461538476,3.3546930465502918,0.0,0,0,1460868.0921796332,334440.7627287558,1126427.3294508776,2.9999999999999992e-06,34522.54873882606,0,0,0,0,493939.3176915258
21,21,39802345.6230493,6.1811538461538476,4.473101034279714,0.0,1,0,1425661.277726289,476943.6552039712,948717.6225223176,2.9999999999999992e-06,34518.07563779178,0,0,0,0,538216.2076597738
22,22,41792462.90420176,6.1811538461538476,4.541279755736202,0.0,1,0,1391302.9449329837,218721.00137474888,1172581.9435582345,2.9999999999999992e-06,34513.53435803604,0,0,0,0,647024.6802885344
23,23,43882086.04941185,6.1811538461538476,4.529390050991313,0.0,2,0,1357772.6454536081,283903.989696862,1073868.655756746,2.9999999999999992e-06,34509.00496798505,0,0,0,0,794962.9904353488
24,24,46076190.35188244,6.1811538461538476,4.5363382451080945,0.0,2,0,1325050.423745699,157761.89363955992,1167288.530106139,2.9999999999999992e-06,34504.468629739946,0,0,0,0,715487.0689865699
25,25,46076190.35188244,6.1811538461538476,4.333333333333333,0.0,2,0,1293116.8051939113,304783.2685674208,988333.5366264912,2.9999999999999992e-06,34500.13529640661,0,0,0,0,894717.3120518177
